region,name,country,website,positioning,source_links
EU,Significa,Portugal,https://significa.co,design-led digital product studio,https://significa.co/
EU,Bakken & Bæck,Norway,https://bakkenbaeck.com,design and technology studio,https://bakkenbaeck.com/
EU,Netguru,Poland,https://www.netguru.com,web development / digital product consultancy,https://www.netguru.com/services/web-development
EU,Bleech,Germany,https://bleech.de,WordPress web studio,https://bleech.de/
EU,Build in Amsterdam,Netherlands,https://www.buildinamsterdam.com,e-commerce / digital design studio,https://www.buildinamsterdam.com/
EU,Ask Phill,Netherlands,https://askphill.com,Shopify Plus agency,https://askphill.com/
EU,scandiweb,Latvia,https://scandiweb.com,enterprise e-commerce agency,https://scandiweb.com/
EU,Kooba,Ireland,https://www.kooba.ie,web design / digital agency,https://www.kooba.ie/
EU,ustwo,United Kingdom,https://www.ustwo.com,digital product studio,https://www.ustwo.com/
EU,Dept,Netherlands,https://www.deptagency.com,digital product / commerce / experience agency,https://www.deptagency.com/
EU,Imaginary Cloud,Portugal,https://imaginarycloud.com,web and product development studio,https://imaginarycloud.com/
EU,Boldare,Poland,https://www.boldare.com,digital product development studio,https://www.boldare.com/
EU,Monomyth,Netherlands,https://monomyth.nl,branding + web studio,https://monomyth.nl/
EU,We Make Websites,United Kingdom,https://wemakewebsites.com,Shopify enterprise web studio,https://wemakewebsites.com/
EU,Bond Media,United Kingdom,https://www.bondmedia.co.uk,web design agency,https://www.bondmedia.co.uk/
EU,Noetik,Greece,https://www.noetik.gr,web design and development studio,https://www.noetik.gr/
EU,The Weather,Germany,https://theweather.co,digital design / web studio,https://theweather.co/
EU,MakeReign,Netherlands,https://makereign.com,e-commerce design studio,https://makereign.com/
EU,Koto Studio,Germany,https://koto.studio,branding + digital studio,https://koto.studio/
EU,Resn,Netherlands,https://resn.co.nz,creative web production studio,https://resn.co.nz/
EU,Active Theory,Netherlands,https://activetheory.net,creative technology / web experience studio,https://activetheory.net/
EU,Dogstudio,Belgium,https://dogstudio.co,creative digital studio,https://dogstudio.co/
EU,Base Design,Belgium,https://basedesign.com,branding + digital studio,https://basedesign.com/
EU,CartedIn,Romania,https://cartedin.com,Shopify / e-commerce agency,https://cartedin.com/
EU,Enlivy,Czech Republic,https://enlivy.cz,web development studio,https://enlivy.cz/
EU,Ackee,Czech Republic,https://www.ackee.agency,product and web development studio,https://www.ackee.agency/
EU,STRV,Czech Republic,https://www.strv.com,product development studio,https://www.strv.com/
EU,Naturaily,Poland,https://naturaily.com,Shopify / web development studio,https://naturaily.com/
EU,Adchitects,Poland,https://www.adchitects.co,web design and development studio,https://www.adchitects.co/
EU,Tonik,Poland,https://tonik.com,branding + digital product studio,https://tonik.com/
EU,Dtail Studio,Denmark,https://dtailstudio.com,branding + web studio,https://dtailstudio.com/
EU,Stupid Studios,Denmark,https://stupid-studios.com,creative web studio,https://stupid-studios.com/
EU,Kurppa Hosk,Sweden,https://kurppahosk.com,brand and digital design studio,https://kurppahosk.com/
EU,Bontouch,Sweden,https://bontouch.com,digital product studio,https://bontouch.com/
EU,North Kingdom,Sweden,https://www.northkingdom.com,creative experience studio,https://www.northkingdom.com/
EU,Family,Sweden,https://family.se,design and brand studio with digital capability,https://family.se/
EU,Fantomas,Norway,https://fantomas.no,digital design studio,https://fantomas.no/
EU,Frontkom,Norway,https://frontkom.no,web development / digital agency,https://frontkom.no/
EU,Shape,Denmark,https://shape.dk,digital product studio,https://shape.dk/
EU,Brave New,Austria,https://bravenew.at,web design and development studio,https://bravenew.at/
EU,Wollzelle,Austria,https://wollzelle.com,digital agency / web studio,https://wollzelle.com/
EU,Huncwot,Poland,https://huncwot.com,creative technology studio,https://huncwot.com/
EU,Fornova Studio,Slovenia,https://fornova.studio,web design studio,https://fornova.studio/
EU,Moye Design,Serbia,https://moye.design,web and branding studio,https://moye.design/
EU,Qream,Slovakia,https://qream.com,creative digital studio,https://qream.com/
EU,Median,Croatia,https://median.hr,digital product and web studio,https://median.hr/
EU,Infinum,Croatia,https://infinum.com,digital product agency,https://infinum.com/
EU,Q agency,Croatia,https://q.agency,web and product development agency,https://q.agency/
EU,DevriX,Bulgaria,https://devrix.com,WordPress development agency,https://devrix.com/
EU,eDesign Interactive,Bulgaria,https://edesigninteractive.com,web design and development agency,https://edesigninteractive.com/
EU,DigitInk,Bulgaria,https://digitink.com,web design / digital growth agency,https://digitink.com/
EU,Studio Ubique,Netherlands,https://www.studioubique.com,custom web development studio,https://www.studioubique.com/
CIS,UPQODE,Kazakhstan,https://upqode.com,web design agency,https://upqode.com
CIS,DAR,Kazakhstan,https://dar.ee,product/web studio,https://themanifest.com/kz/web-design/agencies
CIS,Resolventa,Kazakhstan,https://resolventa.com,web development studio,https://clutch.co/kz/web-developers
CIS,SABYR TECHNOLOGIES,Kazakhstan,https://sabyr.kz,web development company,https://clutch.co/kz/web-developers
CIS,iBEC Systems,Kazakhstan,https://ibecsystems.kz,web studio,https://clutch.co/kz/web-developers
CIS,GEXABYTE,Kazakhstan,https://gexabyte.com,web development company,https://clutch.co/kz/web-developers
CIS,Init.kz,Kazakhstan,https://init.kz,web studio,https://themanifest.com/kz/web-design/agencies
CIS,Concept House,Kazakhstan,https://concepthouse.kz,web design agency,https://themanifest.com/kz/web-design/agencies
CIS,Rocket Firm IT Production,Kazakhstan,https://rocketfirm.com,product/web studio,https://themanifest.com/kz/web-design/agencies
CIS,Kurmashev Studio,Kazakhstan,https://kurmashev.studio,branding + UX/UI studio,https://themanifest.com/kz/web-design/agencies
CIS,Astana Digital Group,Kazakhstan,https://adg.kz,enterprise web solutions company,https://www.softwareworld.co/web-development-companies/kazakhstan/
CIS,Purrweb,Kazakhstan,https://www.purrweb.com,product development studio,https://www.purrweb.com
CIS,Artkai,Ukraine,https://artkai.io,product/web studio,https://www.designrush.com/agency/web-development-companies/ua
